COND天气状况,TMP气温(℃),FEELST体感温度(℃),PRES气压(hPa),HUM相对湿度(%),RAIN降水量(mm),WDIR风向,WSC风力,WSPD风速(m/s),AQI,PM2.5(渭g/m鲁),PM10(渭g/m鲁),NO2(渭g/m鲁),SO2(渭g/m鲁),O3(渭g/m鲁),CO(mg/m鲁)
晴,-4.3,-4.4,1031,30,0.0,2,4,3.8,17.0,9.0,17.0,20.0,6.0,41.0,0.4
晴,-5.1,-5.2,1030,32,0.0,8,1,3.1,13.0,6.0,7.0,25.0,5.0,38.0,0.3
晴,-5.3,-5.4,1030,34,0.0,8,1,2.5,14.0,4.0,8.0,28.0,6.0,34.0,0.4
晴,-3.5,-3.7,1030,29,0.0,8,4,4.5,19.0,9.0,11.0,37.0,9.0,26.0,0.6
晴,0.3,0.9,1026,23,0.0,8,4,3.9,17.0,9.0,12.0,15.0,6.0,52.0,0.5
晴,1.7,3.1,1025,21,0.0,8,1,1.7,17.0,9.0,15.0,14.0,6.0,54.0,0.4
晴,1.7,2.9,1025,20,0.0,8,1,2.3,18.0,9.0,9.0,14.0,6.0,56.0,0.4
晴,1.4,2.3,1025,19,0.0,8,4,3.7,18.0,4.0,10.0,14.0,5.0,57.0,0.3
晴,0.1,1.3,1025,22,0.0,8,1,1.9,23.0,16.0,0.0,16.0,5.0,56.0,0.3
晴,-0.2,0.7,1025,25,0.0,8,1,2.1,17.0,10.0,12.0,20.0,4.0,54.0,0.3
晴,-1.8,-0.7,1025,31,0.0,8,1,0.6,16.0,11.0,15.0,26.0,5.0,46.0,0.4
晴,-2.4,-1.8,1025,34,0.0,8,1,1.0,24.0,16.0,19.0,47.0,9.0,22.0,0.6
晴,-3.1,-3.3,1024,31,0.0,8,4,3.8,21.0,14.0,15.0,41.0,10.0,25.0,0.5
晴,-3.1,-2.9,1024,30,0.0,8,1,2.7,26.0,18.0,20.0,42.0,10.0,23.0,0.6
晴,-3.2,-2.9,1024,30,0.0,8,1,2.4,20.0,14.0,17.0,32.0,8.0,33.0,0.5
晴,-3.0,-2.9,1024,28,0.0,8,4,3.8,15.0,8.0,11.0,29.0,8.0,35.0,0.4
晴,-3.4,-2.9,1024,29,0.0,2,1,2.2,14.0,6.0,11.0,27.0,7.0,36.0,0.4
晴,-3.3,-3.2,1025,28,0.0,8,4,3.9,13.0,6.0,13.0,24.0,6.0,38.0,0.4
晴,-4.1,-4.1,1026,32,0.0,2,1,2.7,18.0,12.0,17.0,33.0,8.0,29.0,0.5
晴,-3.8,-4.1,1026,31,0.0,2,4,4.2,20.0,10.0,17.0,39.0,8.0,24.0,0.6
晴,-2.3,-2.0,1026,27,0.0,2,4,3.6,22.0,9.0,22.0,35.0,7.0,29.0,0.6
晴,-0.7,0.1,1025,24,0.0,2,1,2.7,37.0,12.0,37.0,32.0,11.0,33.0,0.8
晴,0.3,1.2,1025,22,0.0,2,1,2.9,32.0,21.0,32.0,30.0,11.0,38.0,0.7
晴,0.8,1.6,1024,21,0.0,2,4,3.5,17.0,9.0,17.0,18.0,6.0,51.0,0.5
晴,2.2,4.2,1023,19,0.0,6,1,0.7,19.0,8.0,12.0,16.0,6.0,58.0,0.3
晴,-1.5,-0.6,1023,29,0.0,6,1,1.3,83.0,61.0,96.0,80.0,25.0,11.0,1.2
晴,-2.2,-1.7,1023,34,0.0,6,1,1.2,134.0,102.0,123.0,93.0,34.0,7.0,1.7
晴,-3.8,-3.7,1023,40,0.0,6,1,0.8,163.0,124.0,155.0,98.0,37.0,7.0,2.1
晴,-4.6,-5.2,1023,44,0.0,6,1,1.2,193.0,145.0,177.0,98.0,38.0,7.0,2.3
晴,-4.4,-5.1,1023,44,0.0,6,1,1.6,212.0,162.0,196.0,98.0,45.0,8.0,2.7
晴,-5.9,-6.6,1023,49,0.0,6,1,0.5,207.0,157.0,164.0,88.0,40.0,7.0,2.4
晴,-6.9,-8.5,1022,55,0.0,2,1,0.7,200.0,150.0,0.0,83.0,37.0,7.0,2.4
晴,-7.2,-8.6,1023,56,0.0,2,1,0.3,176.0,133.0,0.0,81.0,31.0,6.0,2.1
晴,-7.8,-10.3,1022,61,0.0,6,1,1.1,159.0,121.0,0.0,80.0,35.0,5.0,2.0
晴,-8.1,-10.4,1022,63,0.0,6,1,0.5,149.0,114.0,0.0,76.0,36.0,5.0,1.9
晴,-7.5,-10.1,1022,62,0.0,2,1,1.2,135.0,103.0,109.0,75.0,30.0,7.0,2.1
晴,-6.9,-8.9,1022,56,0.0,2,1,1.3,87.0,64.0,0.0,65.0,22.0,8.0,1.9
晴,-7.3,-9.6,1022,56,0.0,2,1,2.0,49.0,34.0,0.0,61.0,14.0,7.0,1.2
晴,-3.3,-3.4,1022,40,0.0,2,1,1.1,28.0,19.0,0.0,55.0,7.0,10.0,0.8
晴,-1.3,-1.0,1022,31,0.0,2,1,2.3,21.0,14.0,15.0,42.0,6.0,23.0,0.7
晴,0.3,1.2,1022,28,0.0,2,1,1.6,25.0,17.0,25.0,40.0,8.0,27.0,0.8
晴,2.7,4.2,1021,23,0.0,8,1,1.0,36.0,25.0,32.0,38.0,14.0,31.0,1.0
晴,4.1,5.6,1020,21,0.0,6,1,1.3,55.0,39.0,0.0,39.0,20.0,33.0,1.0
晴,5.3,7.1,1019,20,0.0,4,1,0.7,57.0,40.0,0.0,43.0,19.0,34.0,1.1
晴,5.1,6.6,1019,20,0.0,6,1,1.3,46.0,32.0,38.0,46.0,17.0,35.0,1.0
晴,4.1,5.3,1020,22,0.0,6,1,1.8,68.0,49.0,57.0,63.0,21.0,26.0,1.1
多云,2.0,3.1,1020,27,0.0,6,1,1.2,77.0,56.0,71.0,68.0,25.0,25.0,1.2
多云,0.7,1.5,1021,32,0.0,6,1,1.0,79.0,58.0,81.0,75.0,23.0,20.0,1.4
多云,-0.6,-0.4,1021,38,0.0,6,1,1.1,143.0,109.0,129.0,99.0,30.0,8.0,2.4
多云,-2.8,-3.7,1022,50,0.0,2,1,1.0,208.0,158.0,194.0,103.0,44.0,9.0,3.6
多云,-3.6,-5.5,1022,58,0.0,2,1,1.3,324.0,274.0,280.0,119.0,55.0,10.0,3.7
多云,-4.1,-5.6,1022,55,0.0,2,1,1.1,314.0,264.0,269.0,115.0,58.0,10.0,4.0
多云,-5.2,-7.1,1022,61,0.0,6,1,0.6,255.0,205.0,0.0,108.0,46.0,9.0,3.5
多云,-3.9,-5.3,1023,52,0.0,2,1,1.5,100.0,75.0,0.0,73.0,24.0,7.0,1.7
多云,-4.1,-5.0,1023,48,0.0,2,1,1.1,78.0,57.0,0.0,68.0,24.0,7.0,1.5
多云,-4.8,-6.2,1023,51,0.0,2,1,1.5,79.0,58.0,0.0,67.0,24.0,7.0,1.5
多云,-4.6,-5.9,1024,48,0.0,2,1,2.1,59.0,42.0,0.0,60.0,16.0,7.0,1.1
多云,-5.1,-6.1,1024,45,0.0,2,1,1.8,38.0,26.0,0.0,41.0,10.0,20.0,0.7
多云,-5.8,-7.1,1025,49,0.0,2,1,1.5,26.0,18.0,0.0,39.0,8.0,24.0,0.6
多云,-1.8,-2.1,1027,38,0.0,2,1,2.4,32.0,22.0,24.0,62.0,12.0,8.0,0.7
多云,-1.2,-1.3,1028,32,0.0,2,4,3.5,31.0,18.0,31.0,55.0,14.0,17.0,0.7
多云,0.1,0.5,1028,28,0.0,4,1,3.1,46.0,32.0,37.0,49.0,19.0,24.0,0.9
多云,1.0,2.1,1027,26,0.0,4,1,1.5,72.0,52.0,68.0,46.0,38.0,28.0,1.6
多云,1.0,1.7,1026,27,0.0,4,1,2.2,68.0,49.0,55.0,46.0,32.0,32.0,1.4
多云,0.8,1.9,1026,26,0.0,4,1,1.4,75.0,55.0,69.0,50.0,42.0,33.0,1.9
多云,0.9,2.1,1026,26,0.0,4,1,1.1,72.0,52.0,62.0,49.0,33.0,34.0,1.6
多云,0.7,1.6,1027,28,0.0,4,1,1.4,73.0,53.0,62.0,51.0,31.0,32.0,1.6
晴,0.4,1.1,1028,31,0.0,6,1,1.4,84.0,62.0,81.0,56.0,38.0,29.0,1.7
晴,0.0,0.4,1029,34,0.0,6,1,1.4,75.0,55.0,77.0,60.0,38.0,21.0,1.8
晴,-1.7,-1.3,1030,39,0.0,6,1,0.5,84.0,62.0,79.0,68.0,42.0,13.0,1.9
晴,-3.5,-4.2,1031,47,0.0,6,1,1.0,88.0,65.0,92.0,76.0,46.0,7.0,2.4
晴,-2.6,-3.5,1031,47,0.0,6,1,1.7,103.0,77.0,112.0,76.0,40.0,7.0,2.4
晴,-2.0,-1.4,1032,23,0.0,2,4,3.6,100.0,75.0,99.0,76.0,37.0,7.0,2.0
晴,-3.1,-2.7,1032,23,0.0,2,4,4.4,49.0,32.0,49.0,45.0,17.0,31.0,0.9
晴,-3.9,-3.5,1032,24,0.0,2,4,3.9,25.0,17.0,23.0,32.0,8.0,40.0,0.5
晴,-4.6,-4.4,1033,27,0.0,2,4,3.6,22.0,14.0,22.0,34.0,9.0,36.0,0.5
晴,-5.1,-5.4,1033,29,0.0,2,4,4.8,22.0,14.0,22.0,27.0,9.0,42.0,0.5
晴,-5.1,-4.7,1033,27,0.0,2,1,3.1,22.0,9.0,22.0,22.0,9.0,46.0,0.4
晴,-5.7,-6.1,1032,29,0.0,2,4,5.0,21.0,9.0,21.0,21.0,8.0,46.0,0.4
晴,-6.0,-6.0,1032,29,0.0,2,4,3.4,21.0,8.0,21.0,17.0,7.0,49.0,0.4
晴,-6.1,-6.2,1033,28,0.0,8,4,4.2,16.0,8.0,15.0,17.0,6.0,50.0,0.4
晴,-6.5,-6.6,1033,29,0.0,2,4,4.0,22.0,8.0,22.0,17.0,7.0,51.0,0.5
